,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,ABM,SubmittedOrders,PaidFees,spread
10,1612518915550467021,ORDER_EXECUTED,,512,NoiseAgent,,2021-02-05 09:55:08,ABM,32.0,Side.ASK,1404.0,99931.0,,99931.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,526,NoiseAgent,,2021-02-05 09:32:42,ABM,100.0,Side.BID,672.0,,,99979.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,526,NoiseAgent,,2021-02-05 09:32:42,ABM,100.0,Side.BID,672.0,99979.0,,99979.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,536,NoiseAgent,,2021-02-05 09:18:52,ABM,500.0,Side.BID,368.0,,,99971.0,False,False,False,False,1190.0,,,,
7,0,ORDER_EXECUTED,,536,NoiseAgent,,2021-02-05 09:18:52,ABM,100.0,Side.BID,368.0,99971.0,,99971.0,False,False,False,False,1190.0,,,,
10,1612516739762785083,ORDER_EXECUTED,,536,NoiseAgent,,2021-02-05 09:18:52,ABM,36.0,Side.BID,368.0,99971.0,,99971.0,False,False,False,False,1190.0,,,,
12,1612516740623174348,ORDER_EXECUTED,,536,NoiseAgent,,2021-02-05 09:18:52,ABM,100.0,Side.BID,368.0,99971.0,,99971.0,False,False,False,False,1190.0,,,,
14,1612516748094300999,ORDER_EXECUTED,,536,NoiseAgent,,2021-02-05 09:18:52,ABM,100.0,Side.BID,368.0,99971.0,,99971.0,False,False,False,False,1190.0,,,,
16,1612516751013639397,ORDER_EXECUTED,,536,NoiseAgent,,2021-02-05 09:18:52,ABM,100.0,Side.BID,368.0,99971.0,,99971.0,False,False,False,False,1190.0,,,,
18,1612516751482646738,ORDER_EXECUTED,,536,NoiseAgent,,2021-02-05 09:18:52,ABM,64.0,Side.BID,368.0,99971.0,,99971.0,False,False,False,False,1190.0,,,,
6,0,ORDER_SUBMITTED,,538,NoiseAgent,,2021-02-05 09:28:36,ABM,13.0,Side.BID,598.0,,,99983.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,538,NoiseAgent,,2021-02-05 09:28:36,ABM,8.0,Side.BID,598.0,99983.0,,99983.0,False,False,False,False,0.0,,,,
10,1612517318978447076,ORDER_EXECUTED,,538,NoiseAgent,,2021-02-05 09:28:36,ABM,5.0,Side.BID,598.0,99983.0,,99983.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,540,NoiseAgent,,2021-02-05 09:17:28,ABM,100.0,Side.ASK,339.0,,,99960.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,540,NoiseAgent,,2021-02-05 09:17:28,ABM,100.0,Side.ASK,339.0,99960.0,,99960.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,546,NoiseAgent,,2021-02-05 09:30:46,ABM,100.0,Side.ASK,633.0,,,99989.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,546,NoiseAgent,,2021-02-05 09:30:46,ABM,42.0,Side.ASK,633.0,99989.0,,99989.0,False,False,False,False,0.0,,,,
10,1612517695187715707,ORDER_EXECUTED,,546,NoiseAgent,,2021-02-05 09:30:46,ABM,14.0,Side.ASK,633.0,99989.0,,99989.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,563,NoiseAgent,,2021-02-05 09:17:30,ABM,100.0,Side.ASK,340.0,,,99956.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,563,NoiseAgent,,2021-02-05 09:17:30,ABM,100.0,Side.ASK,340.0,99956.0,,99956.0,False,False,False,False,0.0,,,,
