,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM,cash,holdings,mark_to_marked_holdings,total_depot_value,profit
1159,1612521063265021489,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:30:55,ABM,100.0,Side.ASK,21010.0,99894.0,,99894.0,False,False,False,False,,,,,,
1168,1612521063826154954,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:30:55,ABM,100.0,Side.ASK,21010.0,99894.0,,99894.0,False,False,False,False,,,,,,
1181,1612521091567777330,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:31:31,ABM,35.0,Side.ASK,21045.0,99890.0,,99890.0,False,False,False,False,,,,,,
1190,1612521091567777380,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:31:31,ABM,7.0,Side.ASK,21045.0,99890.0,,99890.0,False,False,False,False,,,,,,
1200,1612521091778328990,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:31:31,ABM,23.0,Side.ASK,21045.0,99890.0,,99890.0,False,False,False,False,,,,,,
1209,1612521092507760074,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:31:31,ABM,35.0,Side.ASK,21045.0,99890.0,,99890.0,False,False,False,False,,,,,,
1222,1612521141965951511,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:21,ABM,66.0,Side.ASK,21125.0,99891.0,,99891.0,False,False,False,False,,,,,,
1231,1612521141965951561,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:21,ABM,134.0,Side.ASK,21125.0,99891.0,,99891.0,False,False,False,False,,,,,,
1244,1612521177009127881,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:57,ABM,171.0,Side.ASK,21197.0,99891.0,,99891.0,False,False,False,False,,,,,,
1253,1612521177009127931,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:57,ABM,6.0,Side.ASK,21197.0,99891.0,,99891.0,False,False,False,False,,,,,,
1262,1612521177009127981,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:57,ABM,200.0,Side.ASK,21197.0,99891.0,,99891.0,False,False,False,False,,,,,,
1271,1612521177009128031,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:57,ABM,23.0,Side.ASK,21197.0,99891.0,,99891.0,False,False,False,False,,,,,,
1284,1612521178192314074,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:58,ABM,77.0,Side.ASK,21200.0,99891.0,,99891.0,False,False,False,False,,,,,,
1298,1612521245099365794,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:05,ABM,92.0,Side.ASK,21327.0,99882.0,,99882.0,False,False,False,False,,,,,,
1308,1612521246221510294,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:05,ABM,8.0,Side.ASK,21327.0,99882.0,,99882.0,False,False,False,False,,,,,,
1321,1612521266335687986,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:26,ABM,24.0,Side.ASK,21450.0,99882.0,,99882.0,False,False,False,False,,,,,,
1331,1612521272686465128,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:26,ABM,100.0,Side.ASK,21450.0,99882.0,,99882.0,False,False,False,False,,,,,,
1344,1612521272739736642,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:32,ABM,63.0,Side.ASK,21459.0,99881.0,,99881.0,False,False,False,False,,,,,,
1353,1612521272739736692,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:32,ABM,37.0,Side.ASK,21459.0,99881.0,,99881.0,False,False,False,False,,,,,,
1362,1612521296238904195,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:26,ABM,100.0,Side.ASK,21450.0,99882.0,,99882.0,False,False,False,False,,,,,,
1371,1612521296956037219,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:26,ABM,100.0,Side.ASK,21450.0,99882.0,,99882.0,False,False,False,False,,,,,,
1380,1612521297172484890,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:34:26,ABM,76.0,Side.ASK,21450.0,99882.0,,99882.0,False,False,False,False,,,,,,
1393,1612521324482327926,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:35:24,ABM,100.0,Side.ASK,21527.0,99880.0,,99880.0,False,False,False,False,,,,,,
1406,1612521408175173509,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:36:48,ABM,100.0,Side.ASK,21698.0,99868.0,,99868.0,False,False,False,False,,,,,,
1419,1612521425690568462,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:37:05,ABM,58.0,Side.ASK,21755.0,99863.0,,99863.0,False,False,False,False,,,,,,
1428,1612521425690568512,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:37:05,ABM,42.0,Side.ASK,21755.0,99863.0,,99863.0,False,False,False,False,,,,,,
1441,1612521453289055012,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:37:33,ABM,9.0,Side.ASK,21793.0,99867.0,,99867.0,False,False,False,False,,,,,,
1454,1612521467554252840,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:37:47,ABM,11.0,Side.ASK,21810.0,99876.0,,99876.0,False,False,False,False,,,,,,
1464,1612521467916687753,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:37:47,ABM,89.0,Side.ASK,21810.0,99876.0,,99876.0,False,False,False,False,,,,,,
1477,1612521527245302201,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:38:47,ABM,10.0,Side.ASK,21860.0,99878.0,,99878.0,False,False,False,False,,,,,,
1490,1612521571979963509,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:39:31,ABM,57.0,Side.ASK,21922.0,99884.0,,99884.0,False,False,False,False,,,,,,
1499,1612521571979963559,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:39:31,ABM,35.0,Side.ASK,21922.0,99884.0,,99884.0,False,False,False,False,,,,,,
1509,1612521572580619341,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:39:31,ABM,8.0,Side.ASK,21922.0,99884.0,,99884.0,False,False,False,False,,,,,,
1522,1612521653903289240,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:40:53,ABM,87.0,Side.ASK,21998.0,99888.0,,99888.0,False,False,False,False,,,,,,
1532,1612521655994228329,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:40:53,ABM,13.0,Side.ASK,21998.0,99888.0,,99888.0,False,False,False,False,,,,,,
1545,1612521656690423450,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:40:56,ABM,87.0,Side.ASK,22001.0,99888.0,,99888.0,False,False,False,False,,,,,,
1555,1612521662120162702,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:40:56,ABM,13.0,Side.ASK,22001.0,99888.0,,99888.0,False,False,False,False,,,,,,
1568,1612521680419509739,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:41:20,ABM,54.0,Side.ASK,22019.0,99889.0,,99889.0,False,False,False,False,,,,,,
1577,1612521680419509789,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:41:20,ABM,46.0,Side.ASK,22019.0,99889.0,,99889.0,False,False,False,False,,,,,,
1586,1612521694688587573,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:32:58,ABM,23.0,Side.ASK,21200.0,99891.0,,99891.0,False,False,False,False,,,,,,
1599,1612521713841572933,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:41:53,ABM,100.0,Side.ASK,22049.0,99894.0,,99894.0,False,False,False,False,,,,,,
1612,1612521726643436960,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:06,ABM,17.0,Side.ASK,22069.0,99894.0,,99894.0,False,False,False,False,,,,,,
1622,1612521731816416589,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:06,ABM,83.0,Side.ASK,22069.0,99894.0,,99894.0,False,False,False,False,,,,,,
1635,1612521734429416223,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:14,ABM,25.0,Side.ASK,22097.0,99893.0,,99893.0,False,False,False,False,,,,,,
1644,1612521734429416273,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:14,ABM,75.0,Side.ASK,22097.0,99893.0,,99893.0,False,False,False,False,,,,,,
1657,1612521740689286242,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:20,ABM,3.0,Side.ASK,22103.0,99893.0,,99893.0,False,False,False,False,,,,,,
1666,1612521740689286292,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:20,ABM,100.0,Side.ASK,22103.0,99893.0,,99893.0,False,False,False,False,,,,,,
1675,1612521740689286342,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:20,ABM,97.0,Side.ASK,22103.0,99893.0,,99893.0,False,False,False,False,,,,,,
1688,1612521752069351015,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:32,ABM,58.0,Side.ASK,22117.0,99892.0,,99892.0,False,False,False,False,,,,,,
1697,1612521752069351065,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:42:32,ABM,42.0,Side.ASK,22117.0,99892.0,,99892.0,False,False,False,False,,,,,,
