Column1,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,cash2,holdings,mark_to_marked_holdings,total_depot_value,profit
1938,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,905900250,"{'CASH': 757693713, 'ABM': -7490}",10251925,-895648325,251925
1947,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,915890650,"{'CASH': 757693713, 'ABM': -7490}",10251825,-905638825,251825
1956,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,925181722,"{'CASH': 757693713, 'ABM': -7490}",10251732,-914929990,251732
1966,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,945662042,"{'CASH': 757693713, 'ABM': -7490}",10251527,-935410515,251527
1979,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,955652442,"{'CASH': 757693713, 'ABM': -7490}",10260890,-945391552,260890
1992,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,959248986,"{'CASH': 757693713, 'ABM': -7490}",10251391,-948997595,251391
2005,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,959548710,"{'CASH': 757693713, 'ABM': -7490}",10222894,-949325816,222894
2015,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,969539510,"{'CASH': 757693713, 'ABM': -7490}",10222894,-959316616,222894
2028,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,977032160,"{'CASH': 757693713, 'ABM': -7490}",10270829,-966761331,270829
2037,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,979529710,"{'CASH': 757693713, 'ABM': -7490}",10270804,-969258906,270804
2050,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,981827571,"{'CASH': 757693713, 'ABM': -7490}",10231996,-971595575,231996
2059,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,984525087,"{'CASH': 757693713, 'ABM': -7490}",10232023,-974293064,232023
2072,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,987222630,"{'CASH': 757693713, 'ABM': -7490}",10212519,-977010111,212519
2085,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,993317201,"{'CASH': 757693713, 'ABM': -7490}",10192961,-983124240,192961
2094,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,997213730,"{'CASH': 757693713, 'ABM': -7490}",10192961,-987020769,192961
2107,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,997613370,"{'CASH': 757693713, 'ABM': -7490}",10192957,-987420413,192957
2120,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1007504559,"{'CASH': 757693713, 'ABM': -7490}",10192957,-997311602,192957
2130,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1007604470,"{'CASH': 757693713, 'ABM': -7490}",10192957,-997411513,192957
2143,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1017495659,"{'CASH': 757693713, 'ABM': -7490}",10192957,-1007302702,192957
2153,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1017595570,"{'CASH': 757693713, 'ABM': -7490}",10192957,-1007402613,192957
2166,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1027586970,"{'CASH': 757693713, 'ABM': -7490}",10152525,-1017434445,152525
2179,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1030684304,"{'CASH': 757693713, 'ABM': -7490}",10152494,-1020531810,152494
2188,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1037578370,"{'CASH': 757693713, 'ABM': -7490}",10152425,-1027425945,152425
2201,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1044972154,"{'CASH': 757693713, 'ABM': -7490}",10142142,-1034830012,142142
2211,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1045271902,"{'CASH': 757693713, 'ABM': -7490}",10142142,-1035129760,142142
2220,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,1047569970,"{'CASH': 757693713, 'ABM': -7490}",10142142,-1037427828,142142
